rotor_radius,root_radius,n_blades,air_density,wind_speed,tip_speed_ratio,pitch,start_radius,tip_loss_correction,root_loss_correction,resolution,r_centre,r_inner,r_outer,a,a_prime,f_n,f_t,C_T,alpha,circulation,end_correction,c_l,c_d,phi,inflow_speed
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,10.100502512562814,10.0,10.201005025125628,0.6322250967199095,0.3001101105293718,381.4482951355018,87.73610134301056,1.3046598349054603,4.448464905641719,19.744358553613328,0.1265332615550267,0.7190243821293947,0.0083724546647716,0.2377195025161357,16.181598728664394
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,10.301507537688442,10.201005025125628,10.402010050251256,0.5499886221115222,0.2579857330121078,568.1675517209385,168.95548828794483,1.1903213845979348,7.943420848091655,29.888465225897487,0.2227127446606085,1.091820843142676,0.0094928470098341,0.2977356950636096,16.18900814534416
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,10.50251256281407,10.402010050251256,10.603015075376884,0.3127283301415714,0.0351521392815629,430.9824180463182,45.993484294544025,0.8597172866737429,24.26582184905015,21.33502736769007,0.2802987947837827,0.8587161997265125,0.4419587565147448,0.5816330385007346,14.74562113820598
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,10.703517587939698,10.603015075376884,10.804020100502512,0.2825853633851912,0.0298020351614819,464.8955764695048,49.83200729628961,0.8109235031426026,25.52789164844903,22.30990000764213,0.3303924833284655,0.8831101508265313,0.4777498979404095,0.6026780160298105,15.047326615268494
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,10.904522613065328,10.804020100502512,11.00502512562814,0.2611697440771709,0.0262231372530316,491.8009262426588,52.89255532569867,0.7718404354233438,26.1968146390517,23.040642628663694,0.3728524692012246,0.8986279502104675,0.4982212746911813,0.6133706287976952,15.326886689297543
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,11.105527638190956,11.00502512562814,11.206030150753769,0.2459601676063139,0.0237199935411302,516.8295906990459,55.70661771706887,0.7418550542295517,26.451413424943823,23.765687699298542,0.4101145599673677,0.914683729500962,0.5109894420317175,0.6168319200226741,15.58787939146845
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,11.306532663316585,11.206030150753769,11.407035175879397,0.2327731943215278,0.0215434658187321,536.8752397634845,57.67735682211693,0.7143593373075202,26.57457648320961,24.27001181858769,0.4432951840127676,0.9224507692114172,0.5171660878966985,0.6179992250458187,15.841941421016209
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,11.507537688442213,11.407035175879397,11.608040201005023,0.2210831090455626,0.0196170120978923,553.1401800687172,58.962166088073126,0.688821471761242,26.60404374686432,24.61133293147305,0.4732309073169972,0.9243090651175692,0.5186438755934957,0.6175312299577276,16.09086046268645
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,11.70854271356784,11.608040201005023,11.809045226130651,0.2105567620887892,0.017896724949789,566.4005885483764,59.69219192992304,0.664890448109897,26.563992864217067,24.82700973491304,0.5004972849798703,0.9217833337794546,0.5166353178150902,0.6158499143267843,16.33587527545847
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,11.909547738693467,11.809045226130651,12.01005025125628,0.2009615385325771,0.0163549134047391,577.2104980338327,59.97994863224159,0.6423039942527864,26.471311016452383,24.94354904413097,0.5255148791196457,0.9159385325690694,0.5119873092334981,0.6132500150660396,16.577921254483186
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,12.110552763819095,12.01005025125628,12.21105527638191,0.1921361815581728,0.0149699859792906,585.9624651271187,59.91810860318415,0.6208794771776708,26.337937737043788,24.97984825850912,0.5486015790563998,0.9075276050387976,0.505298619245139,0.6099399163457583,16.81764843551994
